title,author,imageURL,genre,noOfPages,publicationDate,rating,noOfPeopleRated,description,bookID
Python Machine Learning,Sebastian Raschka,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437797728i/25545994.jpg,Artificial intelligence,"454 pages, Paperback","First published September 23, 2015",4.26,718,"Link to the GitHub Repository containing the code examples and additional material: https://github.com/rasbt/python-machi...
Many of the most innovative breakthroughs and exciting new technologies can be attributed to applications of machine learning. We are living in an age where data comes in abundance, and thanks to the self-learning algorithms from the field of machine learning, we can turn this data into knowledge. Automated speech recognition on our smart phones, web search engines, e-mail spam filters, the recommendation systems of our favorite movie streaming services – machine learning makes it all possible.
Thanks to the many powerful open-source libraries that have been developed in recent years, machine learning is now right at our fingertips. Python provides the perfect environment to build machine learning systems productively.
This book will teach you the fundamentals of machine learning and how to utilize these in real-world applications using Python. Step-by-step, you will expand your skill set with the best practices for transforming raw data into useful information, developing learning algorithms efficiently, and evaluating results.
You will discover the different problem categories that machine learning can solve and explore how to classify objects, predict continuous outcomes with regression analysis, and find hidden structures in data via clustering. You will build your own machine learning system for sentiment analysis and finally, learn how to embed your model into a web app to share with the world",174
"Head First Series
           


           Head First Design Patterns",Eric Freeman,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408309444i/58128.jpg,Java,"638 pages, Paperback","First published January 1, 2004",4.3,8608,"You're not alone.
At any given moment, somewhere in the world someone struggles with the same software design problems you have. You know you don't want to reinvent the wheel (or worse, a flat tire), so you look to Design Patterns--the lessons learned by those who've faced the same problems. With Design Patterns, you get to take advantage of the best practices and experience of others, so that you can spend your time on...something else. Something more challenging. Something more complex. Something more fun.
You want to learn about the patterns that matter--why to use them, when to use them, how to use them (and when NOT to use them). But you don't just want to see how patterns look in a book, you want to know how they look ""in the wild"". In their native environment. In other words, in real world applications. You also want to learn how patterns are used in the Java API, and how to exploit Java's built-in pattern support in your own code.
You want to learn the real OO design principles and why everything your boss told you about inheritance might be wrong (and what to do instead). You want to learn how those principles will help the next time you're up a creek without a design pattern.
Most importantly, you want to learn the ""secret language"" of Design Patterns so that you can hold your own with your co-worker (and impress cocktail party guests) when he casually mentions his stunningly clever use of Command, Facade, Proxy, and Factory in between sips of a martini. You'll easily counter with your deep understanding of why Singleton isn't as simple as it sounds, how the Factory is so often misunderstood, or on the real relationship between Decorator, Facade and Adapter.
With
Head First Design Patterns
, you'll avoid the embarrassment of thinking Decorator is something from the ""Trading Spaces"" show. Best of all, in a way that won't put you to sleep! We think your time is too important (and too short) to spend it struggling with academic texts.
If you've read a Head First book, you know what to expect--a visually rich format designed for the way your brain works. Using the latest research in neurobiology, cognitive science, and learning theory,
Head First Design Patterns
will load patterns into your brain in a way that sticks. In a way that lets you put them to work immediately. In a way that makes you better at solving software design problems, and better at speaking the language of patterns with others on your team.",175
HTML and CSS: Design and Build Websites,Jon Duckett,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348805097i/10361330.jpg,Java,"514 pages, Paperback","First published October 25, 2011",4.31,4755,"Every day, more and more people want to learn some HTML and CSS. Joining the professional web designers and programmers are new audiences who need to know a little bit of code at work (update a content management system or e-commerce store) and those who want to make their personal blogs more attractive. Many books teaching HTML and CSS are dry and only written for those who want to become programmers, which is why this book takes an entirely new approach.
• Introduces HTML and CSS in a way that makes them accessible to everyone—hobbyists, students, and professionals—and it’s full-color throughout
• Utilizes information graphics and lifestyle photography to explain the topics in a simple way that is engaging
• Boasts a unique structure that allows you to progress through the chapters from beginning to end or just dip into topics of particular interest at your leisure
This educational book is one that you will enjoy picking up, reading, then referring back to. It will make you wish other technical topics were presented in such a simple, attractive and engaging way!",176
JavaScript and jQuery: Interactive Front-End Web Development,Jon Duckett,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394412494i/16219704.jpg,Java,"640 pages, Paperback","First published March 5, 2013",4.3,1657,"Learn JavaScript and jQuery a nicer way
This full-color book adopts a visual approach to teaching JavaScript & jQuery, showing you how to make web pages more interactive and interfaces more intuitive through the use of inspiring code examples, infographics, and photography. The content assumes no previous programming experience, other than knowing how to create a basic web page in HTML & CSS. You'll learn how to achieve techniques seen on many popular websites (such as adding animation, tabbed panels, content sliders, form validation, interactive galleries, and sorting data)..Introduces core programming concepts in JavaScript and jQueryUses clear descriptions, inspiring examples, and easy-to-follow diagramsTeaches you how to create scripts from scratch, and understand the thousands of JavaScripts, JavaScript APIs, and jQuery plugins that are available on the webDemonstrates the latest practices in progressive enhancement, cross-browser compatibility, and when you may be better off using CSS3
If you're looking to create more enriching web experiences and express your creativity through code, then this is the book for you.This book is also available as part of a set in hardcover - Web Design with HTML, CSS, JavaScript and jQuery, 9781119038634 - and in softcover - Web Design with HTML, CSS, JavaScript and jQuery, 9781118907443.",177
"Effective C++
            
            #4
           


           Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14",Scott Meyers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1416178786i/22800553.jpg,C++,"334 pages, Paperback","First published July 1, 2014",4.56,1470,"Coming to grips with C++11 and C++14 is more than a matter of familiarizing yourself with the features they introduce (e.g., auto type declarations, move semantics, lambda expressions, and concurrency support). The challenge is learning to use those features effectively—so that your software is correct, efficient, maintainable, and portable. That’s where this practical book comes in. It describes how to write truly great software using C++11 and C++14—i.e. using modern C++. Topics The pros and cons of braced initialization, noexcept specifications, perfect forwarding, and smart pointer make functions The relationships among rvalue references, and universal references Techniques for writing clear, correct, effective lambda expressions How differs from volatile, how each should be used, and how they relate to C++'s concurrency API How best practices in ""old"" C++ programming (i.e., C++98) require revision for software development in modern C++ Effective Modern C++ follows the proven guideline-based, example-driven format of Scott Meyers' earlier books, but covers entirely new material. ""After I learned the C++ basics, I then learned how to use C++ in production code from Meyer's series of Effective C++ books. Effective Modern C++ is the most important how-to book for advice on key guidelines, styles, and idioms to use modern C++ effectively and well. Don't own it yet? Buy this one. Now"". -- Herb Sutter, Chair of ISO C++ Standards Committee and C++ Software Architect at Microsoft",178
C++ Templates: The Complete Guide,David Vandevoorde,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521923947i/39404568.jpg,C++,"1139 pages, Kindle Edition","First published January 1, 2013",4.44,41,"Templates are among the most powerful features of C++, but they remain misunderstood and underutilized, even as the C++ language and development community have advanced. In C++ Templates, Second Edition, three pioneering C++ experts show why, when, and how to use modern templates to build software that’s cleaner, faster, more efficient, and easier to maintain.
Now extensively updated for the C++11, C++14, and C++17 standards, this new edition presents state-of-the-art techniques for a wider spectrum of applications. The authors provide authoritative explanations of all new language features that either improve templates or interact with them, including variadic templates, generic lambdas, class template argument deduction, compile-time if, forwarding references, and user-defined literals. They also deeply delve into fundamental language concepts (like value categories) and fully cover all standard type traits.
The book starts with an insightful tutorial on basic concepts and relevant language features. The remainder of the book serves as a comprehensive reference, focusing first on language details and then on coding techniques, advanced applications, and sophisticated idioms. Throughout, examples clearly illustrate abstract concepts and demonstrate best practices for exploiting all that C++ templates can do.
Understand exactly how templates behave, and avoid common pitfalls
Use templates to write more efficient, flexible, and maintainable software
Master today’s most effective idioms and techniques
Reuse source code without compromising performance or safety
Benefit from utilities for generic programming in the C++ Standard Library
Preview the upcoming concepts feature",179
A Tour of C++,Bjarne Stroustrup,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377629336i/18197265.jpg,C++,"181 pages, Paperback","First published September 12, 2013",4.3,973,"The C++11 standard allows programmers to express ideas more clearly, simply, and directly, and to write faster, more efficient code. Bjarne Stroustrup, the designer and original implementer of C++, thoroughly covers the details of this language and its use in his definitive reference, The C++ Programming Language, Fourth Edition . In A Tour of C++ , Stroustrup excerpts the overview chapters from that complete reference, expanding and enhancing them to give an experienced programmer–in just a few hours–a clear idea of what constitutes modern C++. In this concise, self-contained guide, Stroustrup covers most major language features and the major standard-library components–not, of course, in great depth, but to a level that gives programmers a meaningful overview of the language, some key examples, and practical help in getting started. Stroustrup presents the C++ features in the context of the programming styles they support, such as object-oriented and generic programming. His tour is remarkably comprehensive. Coverage begins with the basics, then ranges widely through more advanced topics, including many that are new in C++11, such as move semantics, uniform initialization, lambda expressions, improved containers, random numbers, and concurrency. The tour ends with a discussion of the design and evolution of C++ and the extensions added for C++11. This guide does not aim to teach you how to program (see Stroustrup’s Principles and Practice Using C++ for that); nor will it be the only resource you’ll need for C++ mastery (see Stroustrup’s The C++ Programming Language, Fourth Edition , for that). If, however, you are a C or C++ programmer wanting greater familiarity with the current C++ language, or a programmer versed in another language wishing to gain an accurate picture of the nature and benefits of modern C++, you can’t find a shorter or simpler introduction than this tour provides.",180
The C++ Standard Library: A Tutorial and Reference,Josuttis Nicolai M.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384805255i/18689533.jpg,C++,"2701 pages, Kindle Edition","First published August 12, 1999",4.2,622,"Now Updated for C++11
The C++ standard library provides a set of common classes and interfaces that greatly extend the core C++ language. The library, however, is not self-explanatory. To make full use of its components–and to benefit from their power–you need a resource that does far more than list the classes and their functions.
The C++ Standard Library: A Tutorial and Reference, Second Edition, describes this library as now incorporated into the new ANSI/ISO C++ language standard (C++11). The book provides comprehensive documentation of each library component, including an introduction to its purpose and design; clearly written explanations of complex concepts; the practical programming details needed for effective use; traps and pitfalls; the exact signature and definition of the most important classes and functions; and numerous examples of working code. The book focuses in particular on the Standard Template Library (STL), examining containers, iterators, function objects, and STL algorithms.
The book covers all the new C++11 library components, including
Concurrency
Fractional arithmetic
Clocks and timers
Tuples
New STL containers
New STL algorithms
New smart pointers
New locale facets
Random numbers and distributions
Type traits and utilities
Regular expressions
The book also examines the new C++ programming style and its effect on the standard library, including lambdas, range-based for loops, move semantics, and variadic templates.",181
"Effective C++
            
            #1
           


           Effective C++: 55 Specific Ways to Improve Your Programs and Designs",Scott Meyers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348261809i/105125.jpg,C++,"297 pages, Paperback","First published January 1, 1991",4.4,3300,"The Barnes & Noble Review
Since early in the 90s, working C++ programmers have relied on Scott Meyers s
Effective C++
to dramatically improve their skills. But the state-of-the-art has moved forward dramatically since Meyers last updated this book in 1997. (For instance, there s now STL. Design patterns. Even new functionality being added through TR1 and Boost.) So Meyers has done a top-to-bottom rewrite, identifying the 55 most valuable techniques you need
now
to be exceptionally effective with C++.
Over half of this edition s content is new. Templates broadly impact C++ development, and you ll find them everywhere. There s extensive coverage of multithreaded systems. There s an entirely new chapter on resource management. You ll find substantial new coverage of exceptions. Much is gained, but nothing s lost: You ll find the same depth of practical insight that first made
Effective C++
a classic all those years ago.
Bill Camarda, from the July 2005
href=""http://www.barnesandnoble.com/newslet... Only",182
Programming: Principles and Practice Using C++,Bjarne Stroustrup,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348045634i/2914066.jpg,C++,"1236 pages, Paperback","Published January 1, 2008",4.21,474,"An Introduction to Programming by the Inventor of C++   Preparation for Programming in the Real World The book assumes that you aim eventually to write non-trivial programs, whether for work in software development or in some other technical field.
Available here:
blubbu.com/download?i=0321992784
Programming: Principles and Practice Using C++ (2nd Edition) PDF by Bjarne Stroustrup",183
"Exceptional C++ Style: 40 New Engineering Puzzles, Programming Problems, and Solutions",Herb Sutter,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347338558i/1370492.jpg,C++,"325 pages, Paperback","First published August 12, 2004",4.18,105,"Software ""style"" is about finding the perfect balance between overhead and functionality... elegance and maintainability... flexibility and excess. In Exceptional C++ Style , legendary C++ guru Herb Sutter presents 40 new programming scenarios designed to analyze not only the what but the why and help you find just the right balance in your software. Organized around practical problems and solutions, this book offers new insight into crucial C++ details and interrelationships, and new strategies for today's key C++ programming techniques--including generic programming, STL, exception safety, and more. You'll find answers to questions Exceptional C++ Style will help you design, architect, and code with style--and achieve greater robustness and performance in all your C++ software.",184
Effective C++ Digital Collection: 140 Ways to Improve Your Programming,Scott Meyers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394601369i/19033475.jpg,C++,"2478 pages, Kindle Edition","First published June 21, 2012",4.6,35,"Scott Meyers’s seminal C++ books–
Effective C++
,
More Effective C++
, and
Effective STL
–have been immensely helpful to hundreds of thousands of C++ programmers. All three are finally available together in this eBook collection.
Effective C++ has been embraced by hundreds of thousands of programmers worldwide. The reason is Scott Meyers’s practical approach to C++ describes the rules of thumb used by the experts to produce clear, correct, efficient code. The book is organized around 55 specific guidelines, each of which describes a way to write better C++. Each is backed by concrete examples.
In More Effective C++, Meyers presents 35 ways to improve your programs and designs. Drawing on years of experience, Meyers explains how to write software that is more more efficient, more robust, more consistent, more portable, and more reusable. In short, how to write C++ software that’s just plain better.
In Effective STL, Meyers goes beyond describing what's in the STL to show you how to use it. Each of the book’s 50 guidelines is backed by Meyers’s legendary analysis and incisive examples, so you’ll learn not only what to do, but also when to do it–and why.
Together in this collection, these books include the following important
Expert guidance on the design of effective classes, functions, templates, and inheritance hierarchies. Applications of new “TR1” standard library functionality, along with comparisons to existing standard library components. Insights into differences between C++ and other languages (e.g., Java, C#, C) that help developers from those languages assimilate “the C++ way” of doing things. Proven methods for improving program efficiency, including incisive examinations of the time/space costs of C++ language features Comprehensive descriptions of advanced techniques used by C++ experts, including placement new, virtual constructors, smart pointers, reference counting, proxy classes, and double-dispatching Examples of the profound impact of exception handling on the structure and behavior of C++ classes and functions Practical treatments of new language features, including bool, mutable, explicit, namespaces, member templates, the Standard Template Library, and more. If your compilers don’t yet support these features, Meyers shows you how to get the job done without them. Advice on choosing among standard STL containers (like vector and list), nonstandard STL containers (like hash_set and hash_map), and non-STL containers (like bitset). Techniques to maximize the efficiency of the STL and the programs that use it. Insights into the behavior of iterators, function objects, and allocators, including things you should not do. Guidance for the proper use of algorithms and member functions whose names are the same (e.g., find), but whose actions differ in subtle (but important) ways. Discussions of potential portability problems, including straightforward ways to avoid them.",185
"Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions",Herb Sutter,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348375990i/955406.jpg,C++,"208 pages, Paperback","First published January 1, 1999",4.21,382,"The puzzles and problems in Exceptional C++ not only entertain, they will help you hone your skills to become the sharpest C++ programmer you can be. Many of these problems are culled from the famous Guru of the Week feature of the Internet newsgroup comp.lang.c++, moderated, expanded and updated to conform to the official ISO/ANSI C++ Standard.
Try your skills against the C++ masters and come away with the insight and experience to create more efficient, effective, robust, and portable C++ code.",186
"C++ Coding Standards: 101 Rules, Guidelines, and Best Practices",Herb Sutter,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331666120i/1105780.jpg,C++,"240 pages, Paperback","First published October 25, 2004",4.21,462,"Consistent, high-quality coding standards improve software quality, reduce time-to-market, promote teamwork, eliminate time wasted on inconsequential matters, and simplify maintenance. Now, two of the world's most respected C++ experts distill the rich collective experience of the global C++ community into a set of coding standards that every developer and development team can understand and use as a basis for their own coding standards. The authors cover virtually every facet of C++ design and coding style, functions, operators, class design, inheritance, construction/destruction, copying, assignment, namespaces, modules, templates, genericity, exceptions, STL containers and algorithms, and more. Each standard is described concisely, with practical examples. From type definition to error handling, this book presents C++ best practices, including some that have only recently been identified and standardized-techniques you may not know even if you've used C++ for years. Along the way, you'll find answers to questions like Whether you're working alone or with others, C++ Coding Standards will help you write cleaner code--and write it faster, with fewer hassles and less frustration.",187
"Effective C++
            
            #3
           


           Effective STL: 50 Specific Ways to Improve Your Use of the Standard Template Library",Scott Meyers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349046800i/105124.jpg,C++,"288 pages, Paperback","First published January 1, 2001",4.22,613,"“This is Effective C++ volume three – it’s really that good.”
– Herb Sutter, independent consultant and secretary of the ISO/ANSI C++ standards committee “There are very few books which all C++ programmers must have. Add Effective STL to that list.”
– Thomas Becker, Senior Software Engineer, Zephyr Associates, Inc., and columnist, C/C++ Users Journal C++’s Standard Template Library is revolutionary, but learning to use it well has always been a challenge. Until now. In this book, best-selling author Scott Meyers ( , and ) reveals the critical rules of thumb employed by the experts – the things they almost always do or almost always avoid doing – to get the most out of the library. Other books describe what’s in the STL. Effective STL shows you how to use it . Each of the book’s 50 guidelines is backed by Meyers’ legendary analysis and incisive examples, so you’ll learn not only what to do, but also when to do it – and why . Highlights of Effective STL Like Meyers’ previous books, Effective STL is filled with proven wisdom that comes only from experience. Its clear, concise, penetrating style makes it an essential resource for every STL programmer.",188
"Effective C++
            
            #2
           


           More Effective C++: 35 New Ways to Improve Your Programs and Designs",Scott Meyers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348045238i/105123.jpg,C++,"318 pages, Paperback","First published January 8, 1995",4.34,1059,"More than 150,000 copies in print! Praise for Scott Meyers’ first book, Effective C++ : “I heartily recommend Effective C++ to anyone who aspires to mastery of C++ at the intermediate level or above.”
– The C/C++ User’s Journal From the author of the indispensable Effective C++ , here are 35 new ways to improve your programs and designs. Drawing on years of experience, Meyers explains how to write software that is more effective : more efficient, more robust, more consistent, more portable, and more reusable. In short, how to write C++ software that’s just plain better. More Effective C++ More Effective C++ is filled with pragmatic, down-to-earth advice you’ll use every day. Like Effective C++ before it, More Effective C++ is essential reading for anyone working with C++.",189
The Diary of a Young Girl,Anne Frank,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855.jpg,C++,"283 pages, Mass Market Paperback","First published January 1, 1947",4.19,3700984,"Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit.
In 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short.
--back cover",190
C++ 17 The Complete Guide,Nicolai M. Josuttis,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1513511875i/37554577.jpg,C++,"208 pages, ebook","Published December 15, 2017",4.11,28,"The book presents all the new language and library features of C++17, which is the next evolution in modern C++. Learn how this impacts day-to-day programming, to benefit in practice, to combine new features, and to avoid all new traps.",191
C++ Primer,Stanley B. Lippman,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400884048i/16685155.jpg,C++,"971 pages, ebook","First published January 1, 1989",4.21,966,"Bestselling Programming Tutorial and Reference Completely Rewritten for the New C++11 StandardFully updated and recast for the newly released C++11 standard, this authoritative and comprehensive introduction to C++ will help you to learn the language fast, and to use it in modern, highly effective ways. Highlighting today's best practices, the authors show how to use both the core language and its standard library to write efficient, readable, and powerful code.
""C++ Primer, Fifth Edition, ""introduces the C++ standard library from the outset, drawing on its common functions and facilities to help you write useful programs without first having to master every language detail. The book's many examples have been revised to use the new language features and demonstrate how to make the best use of them. This book is a proven tutorial for those new to C++, an authoritative discussion of core C++ concepts and techniques, and a valuable resource for experienced programmers, especially those eager to see C++11 enhancements illuminated.
Start Fast and Achieve More Learn how to use the new C++11 language features and the standard library to build robust programs quickly, and get comfortable with high-level programmingLearn through examples that illuminate today's best coding styles and program design techniquesUnderstand the ""rationale behind the rules"" why C++11 works as it doesUse the extensive crossreferences to help you connect related concepts and insightsBenefit from up-to-date learning aids and exercises that emphasize key points, help you to avoid pitfalls, promote good practices, and reinforce what you've learned
Access the source code for the extended examples from informit.com/title/0321714113",192
Modern C++ Design: Generic Programming and Design Patterns Applied,Debbie Lafferty,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372041017i/871669.jpg,C++,"360 pages, Paperback","First published February 1, 2001",4.24,872,"In Modern C++ Design , Andrei Alexandrescu opens new vistas for C++ programmers. Displaying extraordinary creativity and programming virtuosity, Alexandrescu offers a cutting-edge approach to design that unites design patterns, generic programming, and C++, enabling programmers to achieve expressive, flexible, and highly reusable code. This book introduces the concept of generic components―reusable design templates that produce boilerplate code for compiler consumption―all within C++. Generic components enable an easier and more seamless transition from design to application code, generate code that better expresses the original design intention, and support the reuse of design structures with minimal recoding. The author describes the specific C++ techniques and features that are used in building generic components and goes on to implement industrial strength generic components for real-world applications. Recurring issues that C++ developers face in their day-to-day activity are discussed in depth and implemented in a generic way. These For each generic component, the book presents the fundamental problems and design options, and finally implements a generic solution.",193
"More Exceptional C++: 40 New Engineering Puzzles, Programming Problems, and Solutions",Herb Sutter,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388324564i/1370491.jpg,C++,"294 pages, Paperback","First published December 17, 2001",4.25,181,"Picks up where the widely acclaimed Exceptional C++ leaves off, providing successful strategies for solving real-world problems in C++. Promotes the practical and pragmatic understanding of the language while showing you how to write exceptional code in C++. Softcover.",194
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1569901602l/50894674.jpg,Python,"592 pages, Paperback","First published November 25, 2014",4.29,2824,"The second edition of this best-selling Python book (100,000+ copies sold in print alone) uses Python 3 to teach even the technically uninclined how to write programs that do in minutes what would take hours to do by hand. There is no prior programming experience required and the book is loved by liberal arts majors and geeks alike.
If you've ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you?
In this fully revised second edition of the best-selling classic Automate the Boring Stuff with Python, you'll learn how to use Python to write programs that do in minutes what would take you hours to do by hand--no prior programming experience required. You'll learn the basics Python and explore Python's rich library of modules for performing specific tasks, like scraping data off websites, reading PDF and Word documents, and automating clicking and typing tasks.
The second edition of this international fan favorite includes a brand-new chapter on input validation, as well as tutorials on automating Gmail and Google Sheets, plus tips on automatically updating CSV files. You'll learn how to create programs that effortlessly perform useful feats of automation to:
- Search for text in a file or across multiple files
- Create, update, move, and rename files and folders
- Search the Web and download online content
- Update and format data in Excel spreadsheets of any size
- Split, merge, watermark, and encrypt PDFs
- Send email responses and text notifications
- Fill out online forms
Step-by-step instructions walk you through each program, and updated practice projects at the end of each chapter challenge you to improve those programs and use your newfound skills to automate similar tasks.
Don't spend your time doing work a well-trained monkey could do. Even if you've never written a line of code, you can make your computer do the grunt work. Learn how in
Automate the Boring Stuff with Python, 2nd Edition
.",195
"Invent Your Own Computer Games with Python, 4th Edition",Al Sweigart,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479735171i/30419236.jpg,Python,"376 pages, Paperback","First published March 20, 2009",4.14,235,"Invent Your Own Computer Games with Python will teach you how to make computer games using the popular Python programming language—even if you’ve never programmed before!
Begin by building classic games like Hangman, Guess the Number, and Tic-Tac-Toe, and then work your way up to more advanced games, like a text-based treasure hunting game and an animated collision-dodging game with sound effects. Along the way, you’ll learn key programming and math concepts that will help you take your game programming to the next level.
Learn how
–Combine loops, variables, and flow control statements into real working programs
–Choose the right data structures for the job, such as lists, dictionaries, and tuples
–Add graphics and animation to your games with the pygame module
–Handle keyboard and mouse input
–Program simple artificial intelligence so you can play against the computer
–Use cryptography to convert text messages into secret code
–Debug your programs and find common errors
As you work through each game, you’ll build a solid foundation in Python and an understanding of computer science fundamentals.
What new game will you create with the power of Python?
The projects in this book are compatible with Python 3.",196
Black Hat Python: Python Programming for Hackers and Pentesters,Justin Seitz,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1418765234i/22299369.jpg,Python,"171 pages, Paperback","First published November 25, 2014",4.07,540,"When it comes to creating powerful and effective hacking tools, Python is the language of choice for most security analysts. But just how does the magic happen?
In
Black Hat Python
, the latest from Justin Seitz (author of the best-selling
Gray Hat Python
), you'll explore the darker side of Python's capabilities writing network sniffers, manipulating packets, infecting virtual machines, creating stealthy trojans, and more. You'll learn how to:
Create a trojan command-and-control using GitHub
Detect sandboxing and automate common malware tasks, like keylogging and screenshotting
Escalate Windows privileges with creative process control
Use offensive memory forensics tricks to retrieve password hashes and inject shellcode into a virtual machine
Extend the popular Burp Suite web-hacking tool
Abuse Windows COM automation to perform a man-in-the-browser attack
Exfiltrate data from a network most sneakily
Insider techniques and creative challenges throughout show you how to extend the hacks and how to write your own exploits.When it comes to offensive security, your ability to create powerful tools on the fly is indispensable. Learn how in
Black Hat Python
.
""",197
Python for Kids: A Playful Introduction To Programming,Jason R. Briggs,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348107154i/13221155.jpg,Python,"344 pages, Paperback","First published March 28, 2012",4.17,560,"Python for Kids
is a lighthearted introduction to the Python language and programming in general, complete with illustrations and kid-friendly examples. Jason Briggs, author of the popular online tutorial ""Snake Wrangling for Kids,"" begins with the basics of how to install Python and write simple commands. In bite-sized chapters, he instructs readers on the essentials of Python, including how to use Python's extensive standard library, the difference between strings and lists, and using for-loops and while-loops. By the end of the book, readers have built a game and created drawings with Python's graphics library, Turtle. Each chapter closes with fun and relevant exercises that challenge the reader to put their newly acquired knowledge to the test.",198
Code Craft: The Practice of Writing Excellent Code,Pete Goodliffe,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328753447i/44875.jpg,Python,"624 pages, Paperback","First published January 1, 2006",3.88,136,"Many programmers know how to write correct code - code that works. But not all know how to craft great code - code that is well written and easy to understand. Code Craft teaches programmers how to move beyond writing correct code to writing great code. The book covers code writing concerns, including code presentation style, variable naming, error handling, and security; and the wider issues of programming in the real world, such as good teamwork, development processes, and documentation. Code Craft presents language-agnostic advice that is relevant to all developers, from an author with loads of practical experience. A Q&A section at the end of each chapter helps readers to review the material and makes the book suited for academic use as well.",199
Cracking Codes with Python: An Introduction to Building and Breaking Ciphers,Al Sweigart,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1498918346i/35038946.jpg,Python,"416 pages, Paperback","First published January 1, 2018",4.35,133,"In
Cracking Codes with Python
, you'll learn how to program in Python while making and breaking ciphers, which are used to encrypt secret messages. (No programming experience required!).
After a quick crash course in programming, you'll make, test, and hack classic cipher programs. You'll begin with simple programs like the Caesar cipher and then work your way up to public key cryptography and the RSA cipher, which is used for modern secure data transmissions.
Each program comes with the full code and a line-by-line explanation of how things work. By book's end, you'll walk away with a solid foundation in Python and same crafty programs under your belt.
Learn how to:
-Combine loops, variables, and flow control statements into real working programs
-Use dictionary files to instantly detect whether text is English or nonsense
-Create programs to test that the code you've written is working correctly
-Write your own programming modules that you can import and use in other programs
-Debug your programs and find common errors
Cracking Codes with Python
is a chance to pick up some Python skills while getting a peek into the intriguing world of cryptography--what more could an aspiring hacker want?",200
